name:ID,aircraft,:LABEL
1,F-35“闪电II”,F-35“闪电II”
2,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机
3,西飞轰-6中型轰炸机,西飞轰-6中型轰炸机
4,三菱支线喷气客机,三菱支线喷气客机
5,苏霍伊“超级喷机-100”支线客机,苏霍伊“超级喷机-100”支线客机
6,波音777双发涡轮风扇远程客机,波音777双发涡轮风扇远程客机
7,歼-16战机,歼-16战机
8,图-154MD电子战飞机	,图-154MD电子战飞机	
9,运-20,运-20
10,歼-20战斗机,歼-20战斗机
name:ID,aircraft,:LABEL
1,歼-20战斗机,歼-20战斗机
2,F-35“闪电II”,F-35“闪电II”
3,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机
4,西飞轰-6中型轰炸机,西飞轰-6中型轰炸机
5,三菱支线喷气客机,三菱支线喷气客机
6,苏霍伊“超级喷机-100”支线客机,苏霍伊“超级喷机-100”支线客机
7,波音777双发涡轮风扇远程客机,波音777双发涡轮风扇远程客机
8,歼-16战机,歼-16战机
9,图-154MD电子战飞机	,图-154MD电子战飞机	
10,运-20,运-20
name:ID,aircraft,:LABEL
1,歼-20战斗机,歼-20战斗机
2,F-35“闪电II”,F-35“闪电II”
3,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机
4,西飞轰-6中型轰炸机,西飞轰-6中型轰炸机
5,三菱支线喷气客机,三菱支线喷气客机
6,苏霍伊“超级喷机-100”支线客机,苏霍伊“超级喷机-100”支线客机
7,波音777双发涡轮风扇远程客机,波音777双发涡轮风扇远程客机
8,歼-16战机,歼-16战机
9,图-154MD电子战飞机	,图-154MD电子战飞机	
10,运-20,运-20
11,直-9,直-9
12,FC-1“枭龙”/JF-17“雷电”多用途攻击机,FC-1“枭龙”/JF-17“雷电”多用途攻击机
13,运-9运输机,运-9运输机
14,P-3“猎户座” 海上巡逻和反潜战飞机,P-3“猎户座” 海上巡逻和反潜战飞机
15,运-8J海上警戒机,运-8J海上警戒机
16,教练-8/K-8“喀喇昆仑山”,教练-8/K-8“喀喇昆仑山”
17,“新舟”60涡桨支线飞机	,“新舟”60涡桨支线飞机	
18,歼-31战斗机,歼-31战斗机
19,40F双座水上教练机	,40F双座水上教练机	
20,贝尔OH-58侦察直升机,贝尔OH-58侦察直升机
name:ID,aircraft,:LABEL
1,歼-20战斗机,歼-20战斗机
2,F-35“闪电II”,F-35“闪电II”
3,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机
4,西飞轰-6中型轰炸机,西飞轰-6中型轰炸机
name:ID,aircraft,:LABEL
1,歼-20战斗机,歼-20战斗机
2,直-10 ,直-10 
3,F-35“闪电II”,F-35“闪电II”
4,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机
5,西飞轰-6中型轰炸机,西飞轰-6中型轰炸机
6,三菱支线喷气客机,三菱支线喷气客机
7,苏霍伊“超级喷机-100”支线客机,苏霍伊“超级喷机-100”支线客机
8,波音777双发涡轮风扇远程客机,波音777双发涡轮风扇远程客机
9,歼-16战机,歼-16战机
10,图-154MD电子战飞机	,图-154MD电子战飞机	
11,运-20,运-20
12,直-9,直-9
13,FC-1“枭龙”/JF-17“雷电”多用途攻击机,FC-1“枭龙”/JF-17“雷电”多用途攻击机
14,运-9运输机,运-9运输机
15,LCA战斗机,LCA战斗机
16,苏-27战斗机,苏-27战斗机
17,P-3“猎户座” 海上巡逻和反潜战飞机,P-3“猎户座” 海上巡逻和反潜战飞机
18,运-8J海上警戒机,运-8J海上警戒机
19,教练-8/K-8“喀喇昆仑山”,教练-8/K-8“喀喇昆仑山”
20,“新舟”60涡桨支线飞机	,“新舟”60涡桨支线飞机	
21,波音787宽体客机,波音787宽体客机
22,P-8“海神”反潜巡逻机,P-8“海神”反潜巡逻机
23,歼-31战斗机,歼-31战斗机
24,40F双座水上教练机	,40F双座水上教练机	
25,贝尔OH-58侦察直升机,贝尔OH-58侦察直升机
26,39-A双翼飞机,39-A双翼飞机
27,H-53E“超级种马/海龙”重型多功能直升机,H-53E“超级种马/海龙”重型多功能直升机
28,F-16“战隼”,F-16“战隼”
29,麦克唐纳F-15E“打击鹰” 双座双发打击战斗机,麦克唐纳F-15E“打击鹰” 双座双发打击战斗机
30,A3D/A-3“空中战士”,A3D/A-3“空中战士”
31,米-171直升机,米-171直升机
32,F-15鹰式战斗机,F-15鹰式战斗机
33,中航工业哈飞 运-12 支线客机,中航工业哈飞 运-12 支线客机
34,波音B-29“超级空中堡垒”,波音B-29“超级空中堡垒”
35,波音B-17单翼重型轰炸机,波音B-17单翼重型轰炸机
36,P-59“空中彗星”战斗机,P-59“空中彗星”战斗机
37,波音X-45A/C 无人驾驶作战飞机 ,波音X-45A/C 无人驾驶作战飞机 
38,埃隆卡O-58“蚱蜢”轻型观察机,埃隆卡O-58“蚱蜢”轻型观察机
39,贝尔HTL/HUL/H-13通用直升机,贝尔HTL/HUL/H-13通用直升机
40,比奇T-34“导师”教练机,比奇T-34“导师”教练机
41,T-34C“涡轮导师”,T-34C“涡轮导师”
42,洛克希德C-69“星座”运输机,洛克希德C-69“星座”运输机
43,P-51A,P-51A
44,UH-1“易洛魁人”通用直升机,UH-1“易洛魁人”通用直升机
45,波音AH-64双座双发攻击直升机,波音AH-64双座双发攻击直升机
46,F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机,F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机
47,贝尔HSL四座单发ASW直升机,贝尔HSL四座单发ASW直升机
48,C/UC-12“休伦,C/UC-12“休伦
49,T-1A“苍鹰”,T-1A“苍鹰”
50,AT-7/11/C-45和JRB/SNB单翼轻型运输机／教练机,AT-7/11/C-45和JRB/SNB单翼轻型运输机／教练机
51,比奇T-42“科奇斯”,比奇T-42“科奇斯”
name:ID,aircraft,:LABEL
1,歼-20战斗机,歼-20战斗机
2,直-10 ,直-10 
3,F-35“闪电II”,F-35“闪电II”
4,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机
5,西飞轰-6中型轰炸机,西飞轰-6中型轰炸机
6,三菱支线喷气客机,三菱支线喷气客机
7,苏霍伊“超级喷机-100”支线客机,苏霍伊“超级喷机-100”支线客机
8,波音777双发涡轮风扇远程客机,波音777双发涡轮风扇远程客机
101,歼-20战斗机,歼-20战斗机
101,歼-20战斗机,歼-20战斗机
102,直-10 ,直-10 
103,F-35“闪电II”,F-35“闪电II”
104,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机,苏-30/苏-33“侧卫” 制空战斗机和对地攻击机
105,西飞轰-6中型轰炸机,西飞轰-6中型轰炸机
106,三菱支线喷气客机,三菱支线喷气客机
107,苏霍伊“超级喷机-100”支线客机,苏霍伊“超级喷机-100”支线客机
108,波音777双发涡轮风扇远程客机,波音777双发涡轮风扇远程客机
109,歼-16战机,歼-16战机
110,图-154MD电子战飞机	,图-154MD电子战飞机	
111,运-20,运-20
112,P-3“猎户座” 海上巡逻和反潜战飞机,P-3“猎户座” 海上巡逻和反潜战飞机
113,运-8J海上警戒机,运-8J海上警戒机
114,教练-8/K-8“喀喇昆仑山”,教练-8/K-8“喀喇昆仑山”
115,“新舟”60涡桨支线飞机	,“新舟”60涡桨支线飞机	
116,波音787宽体客机,波音787宽体客机
117,P-8“海神”反潜巡逻机,P-8“海神”反潜巡逻机
118,歼-31战斗机,歼-31战斗机
119,直-9,直-9
120,FC-1“枭龙”/JF-17“雷电”多用途攻击机,FC-1“枭龙”/JF-17“雷电”多用途攻击机
121,LCA战斗机,LCA战斗机
122,苏-27战斗机,苏-27战斗机
123,40F双座水上教练机	,40F双座水上教练机	
124,贝尔OH-58侦察直升机,贝尔OH-58侦察直升机
125,39-A双翼飞机,39-A双翼飞机
126,H-53E“超级种马/海龙”重型多功能直升机,H-53E“超级种马/海龙”重型多功能直升机
127,F-16“战隼”,F-16“战隼”
128,麦克唐纳F-15E“打击鹰” 双座双发打击战斗机,麦克唐纳F-15E“打击鹰” 双座双发打击战斗机
129,A3D/A-3“空中战士”,A3D/A-3“空中战士”
130,米-171直升机,米-171直升机
131,F-15鹰式战斗机,F-15鹰式战斗机
132,中航工业哈飞 运-12 支线客机,中航工业哈飞 运-12 支线客机
133,波音B-29“超级空中堡垒”,波音B-29“超级空中堡垒”
134,波音B-17单翼重型轰炸机,波音B-17单翼重型轰炸机
135,P-59“空中彗星”战斗机,P-59“空中彗星”战斗机
136,波音X-45A/C 无人驾驶作战飞机 ,波音X-45A/C 无人驾驶作战飞机 
137,埃隆卡O-58“蚱蜢”轻型观察机,埃隆卡O-58“蚱蜢”轻型观察机
138,贝尔HTL/HUL/H-13通用直升机,贝尔HTL/HUL/H-13通用直升机
139,比奇T-34“导师”教练机,比奇T-34“导师”教练机
140,T-34C“涡轮导师”,T-34C“涡轮导师”
141,洛克希德C-69“星座”运输机,洛克希德C-69“星座”运输机
142,P-51A,P-51A
143,UH-1“易洛魁人”通用直升机,UH-1“易洛魁人”通用直升机
144,波音AH-64双座双发攻击直升机,波音AH-64双座双发攻击直升机
